"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"HPA","Thyroid gland; glandular cells[High]","HPA:0590053","false","3.5360485520162415e-10","9.4514817805006","1880","26","21","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Colon; peripheral nerve/ganglion[High]","HPA:0130243","false","7.256536471471614e-10","9.139270617625563","855","26","16","11007","U2AF1,RBMX,SRSF2,SRSF3,SRSF6,SRSF8,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPUL1"
"HPA","Testis; round or early spermatids[High]","HPA:0570793","false","7.37102357094044e-10","9.132472200018137","1030","26","17","11007","U2AF2,SRSF1,SRSF2,SRSF3,SRSF6,SRSF7,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Lung; alveolar cells type I[≥Medium]","HPA:0301362","false","1.25302473333627e-9","8.90204035642369","886","26","16","11007","U2AF2,SRSF1,SRSF3,SRSF4,SRSF6,SRSF7,SRSF11,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH2,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Caudate; glial cells[≥Medium]","HPA:0080122","false","1.3921664645544814e-9","8.85630883202786","2319","26","22","11007","U2AF1,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Testis; spermatogonia cells[≥Low]","HPA:0570811","false","1.4032423493482077e-9","8.852867316929359","3061","26","24","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Cerebral cortex; glial cells[≥Medium]","HPA:0100122","false","1.6245821800048857e-9","8.789258314839204","2683","26","23","11007","U2AF1,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Urinary bladder; urothelial cells[High]","HPA:0610833","false","1.736525933618089e-9","8.760318726466014","2035","26","21","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Lung; alveolar cells type I[≥Low]","HPA:0301361","false","1.8477791352880698e-9","8.733349941155998","1090","26","17","11007","U2AF2,SRSF1,SRSF3,SRSF4,SRSF6,SRSF7,SRSF9,SRSF11,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH2,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Colon; glandular cells[High]","HPA:0130053","false","3.3581994142945678e-9","8.473893518455162","2418","26","22","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 1; cells in spinous layer[High]","HPA:0461413","false","3.3956714056064244e-9","8.469074342467088","207","26","10","11007","SRSF3,SRSF6,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Bronchus; respiratory epithelial cells[High]","HPA:0060103","false","3.6106377763078333e-9","8.442416078352823","1828","26","20","11007","U2AF1,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Stomach 2; glandular cells[High]","HPA:0550053","false","3.6311125917609786e-9","8.439960284487716","2427","26","22","11007","U2AF1,U2AF2,RBMX,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Vagina; squamous epithelial cells[High]","HPA:0620223","false","3.816677670078909e-9","8.418314515978865","1140","26","17","11007","U2AF1,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Lung; endothelial cells[≥Low]","HPA:0300201","false","4.793153320798939e-9","8.319378678808762","798","26","15","11007","U2AF2,SRSF1,SRSF3,SRSF4,SRSF6,SRSF11,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH2,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Pancreas; pancreatic endocrine cells[High]","HPA:0351183","false","5.149201630723423e-9","8.288260101881043","802","26","15","11007","U2AF1,SRSF1,SRSF3,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 1; langerhans cells[High]","HPA:0461463","false","5.679130302924998e-9","8.245718166676271","218","26","10","11007","SRSF3,SRSF6,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Testis; sertoli cells[≥Low]","HPA:0570801","false","9.133397534375385e-9","8.03936763911895","2536","26","22","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Caudate; glial cells[High]","HPA:0080123","false","1.0084753480597362e-8","7.996334713546881","684","26","14","11007","SRSF1,SRSF3,SRSF4,SRSF6,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Cerebellum; cells in granular layer[≥Medium]","HPA:0090182","false","1.1228337210533685e-8","7.949684553066907","2928","26","23","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF7,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
